fid,adep,ades,our_callsign,bra_callsign,our_first_time,our_last_time,bra_time,time_diff_min,match_method,n_positions,bra_hfe_v1,bra_hfe_v2,bra_dist_flown_v1,bra_dist_flown_v2,bra_dist_achieved_v1,bra_dist_achieved_v2,bra_equip
94,SBSV,SBGR,TAM3351,NA,2025-12-10T21:35:58Z,2025-12-10T23:55:54Z,2025-12-10T21:35:55Z,0.05,callsign,2066,5.37494022149993,5.26069875519345,746.948757557954,683.508947396556,708.848570625858,649.34866999715,A321
95,SBSV,SBGR,TAM3353,NA,2025-12-10T17:03:02Z,2025-12-10T20:08:14Z,2025-12-10T17:03:02Z,0,callsign,2737,53.40601784507,57.5078077982593,1087.81610260898,1027.32426197071,709.109145710045,652.23703912287,A321
96,SBGR,SBSV,TAM3354,NA,2025-12-10T19:19:43Z,2025-12-10T21:09:36Z,2025-12-10T19:19:48Z,0.08333333333333333,callsign,1623,1.30207429347536,1.28387837359269,714.574383277178,653.296658665796,705.389685513283,645.015444862869,A320
98,SBSV,SBGR,TAM3359,NA,2025-12-10T07:50:03Z,2025-12-10T10:01:16Z,2025-12-10T07:50:02Z,0.016666666666666666,callsign,1938,1.21242686982808,0.76661991479099,715.242010498419,652.67950035655,706.674103782049,647.713995873297,A321
99,SBSV,SBGR,TAM3381,NA,2025-12-10T00:57:30Z,2025-12-10T03:23:35Z,2025-12-10T00:56:10Z,1.3333333333333333,callsign,1193,12.2126442268179,12.5824075879068,798.971643179665,731.133941345396,712.015699019342,649.42112805192,A321
100,SBBR,SBSV,TAM3409,NA,2025-12-10T19:31:00Z,2025-12-10T20:58:13Z,2025-12-10T19:31:26Z,0.43333333333333335,callsign,1288,3.45988113883584,3.33332649359686,526.430823858827,465.966891893301,508.826047414837,450.935731680113,A320
101,SBCF,SBSP,TAM3431,NA,2025-12-10T19:45:04Z,2025-12-10T21:14:16Z,2025-12-10T19:45:39Z,0.5833333333333334,callsign,1317,10.5435957166161,6.82901074589752,248.025708981751,165.176723214864,224.369134524606,154.617853391671,A320
105,SBCF,SBSP,TAM3629,NA,2025-12-10T18:55:31Z,2025-12-10T20:14:57Z,2025-12-10T18:55:42Z,0.18333333333333332,callsign,1175,26.5031175830202,6.54020692745001,282.969068108957,166.083952832439,223.685450220824,155.888520983947,A320
106,SBCF,SBSP,TAM3651,NA,2025-12-10T16:06:22Z,2025-12-10T17:44:32Z,2025-12-10T16:06:57Z,0.5833333333333334,callsign,1439,32.1257967999018,37.898156888601,303.861917215147,222.001682807722,229.979250513306,160.989593926961,A320
107,SBGR,SBSV,TAM3652,NA,2025-12-10T18:14:26Z,2025-12-10T20:04:35Z,2025-12-10T18:14:25Z,0.016666666666666666,callsign,1629,4.14316625325586,4.40611146443384,734.999405641777,674.363239350747,705.75865136883,645.903989615081,A321
108,SBSV,SBGR,TAM3653,NA,2025-12-10T13:18:01Z,2025-12-10T15:11:39Z,2025-12-10T13:17:14Z,0.7833333333333333,callsign,1667,1.22608366355711,0.797648373444856,717.122745527492,654.631402503244,708.436718653442,649.451066633918,A320
110,SBBR,SBSV,TAM3776,NA,2025-12-10T11:56:46Z,2025-12-10T13:21:36Z,2025-12-10T11:56:56Z,0.16666666666666666,callsign,1235,1.21270932355939,0.84133523611106,514.463219506136,453.373963337848,508.299029780427,449.591392533938,A319
111,SBSV,SBBR,TAM3777,NA,2025-12-10T14:37:00Z,2025-12-10T16:05:49Z,2025-12-10T14:37:45Z,0.75,callsign,1309,1.91468912449955,1.37939560910151,517.644506956574,455.092008844134,507.919428890389,448.899903288906,A319
112,SBBR,SBCT,TAM3794,NA,2025-12-10T14:13:59Z,2025-12-10T15:54:09Z,2025-12-10T14:14:04Z,0.08333333333333333,callsign,1472,2.35816867271252,1.0906323559102,522.46360021388,453.932096057242,510.426873583918,449.034777484705,A320
113,SBCT,SBBR,TAM3795,NA,2025-12-10T15:27:00Z,2025-12-10T16:44:26Z,2025-12-10T15:27:20Z,0.3333333333333333,callsign,1136,1.55178587062679,1.34769121820425,515.528298483074,452.805560265177,507.650647463589,446.784287656119,A320
114,SBSV,SBBR,TAM3809,NA,2025-12-10T22:09:37Z,2025-12-10T23:39:52Z,2025-12-10T22:09:56Z,0.31666666666666665,callsign,1331,9.2245575098851,8.4994568392726,557.069408835172,486.061691792268,510.022124635072,447.985368730743,A320
115,SBSV,SBBR,TAM3811,NA,2025-12-10T08:34:23Z,2025-12-10T10:14:42Z,2025-12-10T08:34:24Z,0.016666666666666666,callsign,1480,3.38733914975999,1.30555812978778,531.780821701441,455.991035292615,514.357779274248,450.114528472783,A320
116,SBBR,SBSV,TAM3816,NA,2025-12-10T16:06:50Z,2025-12-10T17:33:22Z,2025-12-10T16:07:00Z,0.16666666666666666,callsign,1267,6.31719804064078,6.61705968716061,541.240360434731,480.884465964884,509.080722977515,451.038949466354,A320
117,SBSV,SBBR,TAM3817,NA,2025-12-10T18:45:02Z,2025-12-10T20:25:45Z,2025-12-10T18:44:59Z,0.05,callsign,1488,6.07369829936948,3.95032969368128,545.585466293655,466.452690667691,514.345662535364,448.726513943942,A320
118,SBGR,SBRJ,TAM3974,NA,2025-12-10T15:52:52Z,2025-12-10T16:54:52Z,2025-12-10T15:52:43Z,0.15,callsign,904,2.46500464534023,2.45346545920606,110.01408655289,49.6029635808459,107.367473347295,48.4151154463354,A319
119,SBRJ,SBGR,TAM3975,NA,2025-12-10T19:56:16Z,2025-12-10T20:41:22Z,2025-12-10T19:56:23Z,0.11666666666666667,callsign,667,3.30541847230037,4.59083593349736,110.850041536471,49.5068963060433,107.303221046622,47.3338757302998,A319
120,SBBR,SBSV,TAM3995,NA,2025-12-10T23:52:03Z,2025-12-10T23:59:58Z,2025-12-10T23:55:25Z,3.3666666666666667,callsign,118,1.6036621095047,1.37267341517625,518.248632045306,457.89846558037,510.068851147075,451.698125494853,A321
121,SBGR,SBSV,TAM4674,NA,2025-12-10T05:06:20Z,2025-12-10T06:56:44Z,2025-12-10T05:06:00Z,0.3333333333333333,callsign,1631,0.156205253775066,0.121768352872458,706.464501630818,645.900511512067,705.362688053909,645.114965644268,A321
122,SBSV,SBGR,TAM4675,NA,2025-12-10T09:06:00Z,2025-12-10T11:44:22Z,2025-12-10T09:06:05Z,0.08333333333333333,callsign,2336,19.5468817221242,20.794791585868,844.791489050582,782.423703130253,706.661250281895,647.729668521395,A320
124,SBSP,SBCF,TAM9003,NA,2025-12-10T13:13:33Z,2025-12-10T14:06:09Z,2025-12-10T13:13:23Z,0.16666666666666666,callsign,777,4.3327111875238,1.19421621716481,214.467572988068,146.777680478976,205.561199883507,145.04552331725,A320
2,SBCF,SBSP,AZU2636,AZU9601,2025-12-10T12:05:15Z,2025-12-10T13:28:19Z,2025-12-10T11:58:37Z,6.633333333333334,time,1209,125.402890409622,114.546690208306,493.108201881081,459.995656858842,218.767470543506,214.403520470172,A20N
26,SBCF,SBSP,AZU6075,TAM3629,2025-12-10T18:44:01Z,2025-12-10T20:20:31Z,2025-12-10T18:55:42Z,11.683333333333334,time,1427,26.5031175830202,6.54020692745001,282.969068108957,166.083952832439,223.685450220824,155.888520983947,A320
33,SBCF,SBSP,AZU6427,TAM3629,2025-12-10T19:06:00Z,2025-12-10T21:24:21Z,2025-12-10T18:55:42Z,10.3,time,2044,26.5031175830202,6.54020692745001,282.969068108957,166.083952832439,223.685450220824,155.888520983947,A320
39,SBGR,SBSV,GLO1160,GLO9612,2025-12-10T10:16:16Z,2025-12-10T11:55:49Z,2025-12-10T10:25:30Z,9.233333333333333,time,1471,0.250134426955656,0.200852618942266,707.094861688588,646.495344500627,705.330587066486,645.19944451891,B738
52,SBSP,SBCF,GLO1350,TAM3126,2025-12-10T00:39:30Z,2025-12-10T01:14:59Z,2025-12-10T00:41:19Z,1.8166666666666667,time,264,0.780361031263014,0.552923560446607,205.900147757021,145.149226228651,204.305824716334,144.351075124529,A320
72,SBBR,SBSV,PPCPN,TAM3409,2025-12-10T19:32:38Z,2025-12-10T21:03:38Z,2025-12-10T19:31:26Z,1.2,time,1344,3.45988113883584,3.33332649359686,526.430823858827,465.966891893301,508.826047414837,450.935731680113,A320
102,SBCF,SBSP,TAM3457,TAM3651,2025-12-10T15:57:12Z,2025-12-10T17:33:01Z,2025-12-10T16:06:57Z,9.75,time,1404,32.1257967999018,37.898156888601,303.861917215147,222.001682807722,229.979250513306,160.989593926961,A320
126,SBCF,SBSP,TAM9424,AZU9601,2025-12-10T11:47:01Z,2025-12-10T12:50:27Z,2025-12-10T11:58:37Z,11.6,time,936,125.402890409622,114.546690208306,493.108201881081,459.995656858842,218.767470543506,214.403520470172,A20N
